seed,split_type,feature,model_name,train_auc,train_accuracy,train_f1,val_auc,val_accuracy,val_f1,test_auc,test_accuracy,test_f1
77,scaffold,morgan,lgbm,0.9998434152955228,0.9923518164435946,0.9947289156626506,0.9201416733493718,0.8850267379679144,0.9193245778611632,0.9291616543506902,0.8928571428571429,0.9340974212034384
77,scaffold,morgan,xgb,0.9981635865446278,0.9825184375853592,0.987987987987988,0.916566426089281,0.8796791443850267,0.9152542372881356,0.9284599301139943,0.8835403726708074,0.9282296650717703
0,scaffold,descriptors_basic,knn,0.9749684612640982,0.9155933132365032,0.9428571428571428,0.9127128450983633,0.8597883597883598,0.900562851782364,0.9223834533542693,0.9003067484662577,0.9365853658536586
0,scaffold,fp2,knn,0.9773939088200629,0.9164154562893944,0.9432980107826734,0.924747892213589,0.8756613756613757,0.9111531190926276,0.9196153013157182,0.9171779141104295,0.947265625
77,scaffold,morgan,lr,0.9982842950399645,0.9797869434580716,0.9861267341582303,0.8980219192729219,0.8850267379679144,0.9184060721062619,0.9151271696167727,0.8990683229813664,0.9376797698945349
0,scaffold,morgan,knn,0.9799183273045899,0.9155933132365032,0.943857090776522,0.9352289634650356,0.8888888888888888,0.9239130434782609,0.9130367101629758,0.9171779141104295,0.9484732824427481
77,scaffold,morgan,svm,0.9915175188013758,0.962032231630702,0.9741587655698085,0.9151296444800856,0.8823529411764706,0.917910447761194,0.9016941628000229,0.8944099378881988,0.9356060606060606
0,scaffold,descriptors_basic,lr,0.8581077361710278,0.8446149630035626,0.8992358272614182,0.9164159365184328,0.8783068783068783,0.9169675090252708,0.8976731279441226,0.8819018404907976,0.9260326609029779
0,scaffold,descriptors_basic,svm,0.9149404251564872,0.8807892573307755,0.9221685453569511,0.9235245495123161,0.8756613756613757,0.9156193895870736,0.891365260707131,0.8849693251533742,0.9263984298331698
77,scaffold,morgan,knn,0.9831619123215345,0.9229718656104889,0.9485401459854015,0.8659783480352847,0.8556149732620321,0.9007352941176471,0.8556381394283096,0.8959627329192547,0.9373246024321796
